"member_casual","mean_ride_length","median_ride_length","max_ride_length","min_ride_length","mean_ride_length_time","median_ride_length_time","max_ride_length_time","min_ride_length_time"
"casual",1311.20313568688,778,86396,0,"00:21:51","00:12:58","23:59:56","00:00:00"
"member",743.764349033353,530,86390,0,"00:12:24","00:08:50","23:59:50","00:00:00"
