"day_of_week","member_casual","count_of_rides"
1,"casual",388128
1,"member",387129
2,"casual",277137
2,"member",473245
3,"casual",263252
3,"member",518508
4,"casual",273874
4,"member",523769
5,"casual",308760
5,"member",532153
6,"casual",334004
6,"member",466985
7,"casual",472232
7,"member",443175
